ID,Name,Localized Name,Temperature,Luminosity,Density,Viscosity,Placeable,Block ID,Block Class
86,rocket_fuel,火箭燃料,295,0,900,1000,true,EnderIO:blockRocket_fuel,crazypants.enderio.fluid.BlockFluidEio
87,fire_water,火焰水,2600,0,900,1000,true,EnderIO:blockFire_water,crazypants.enderio.fluid.BlockFluidEio
88,liquid_sunshine,液态阳光,300,0,200,400,true,EnderIO:blockLiquid_sunshine,crazypants.enderio.fluid.BlockFluidEio
89,cloud_seed,云之精华,300,0,500,800,true,EnderIO:blockCloud_seed,crazypants.enderio.fluid.BlockFluidEio
90,cloud_seed_concentrated,浓缩云之精华,300,0,1000,1200,true,EnderIO:blockCloud_seed_concentrated,crazypants.enderio.fluid.BlockFluidEio
91,ender_distillation,深渊露水,175,0,200,1000,true,EnderIO:blockEnder_distillation,crazypants.enderio.fluid.BlockFluidEio
92,vapor_of_levity,轻盈之气,5,0,-10,100,true,EnderIO:blockVapor_of_levity,crazypants.enderio.fluid.BlockFluidEio
93,sodiumpotassium,钠钾共晶合金(NaK),300,0,1000,1000,true,dreamcraft:dreamcraft_SodiumPotassium,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
94,concrete,混凝土,300,0,1000,1000,true,dreamcraft:dreamcraft_Concrete,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
95,enrichedbacterialsludge,放射性细菌污泥,300,15,1,1000,true,dreamcraft:dreamcraft_EnrichedBacterialSludge,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
96,fermentedbacterialsludge,发酵的细菌污泥,300,8,1,1000,true,dreamcraft:dreamcraft_FermentedBacterialSludge,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
97,nitricacid,硝酸,295,0,1,1000,true,dreamcraft:dreamcraft_NitricAcid,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
98,ammonia,氨气,295,8,0,-500,true,dreamcraft:dreamcraft_Ammonia,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
99,compressedoxygen,压缩氧气,295,0,1,1,true,dreamcraft:dreamcraft_CompressedOxygen,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
100,compressednitrogen,压缩氮气,295,0,1,1,true,dreamcraft:dreamcraft_CompressedNitrogen,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
101,pollution,污染物,295,0,1,1,true,dreamcraft:dreamcraft_Pollution,eu.usrv.yamcore.fluids.ModSimpleBaseFluid
102,fluidmilk,牛奶,300,0,1000,1050,true,Automagy:blockFluidMilk,tuhljin.automagy.blocks.fluid.BlockFluidMilk
103,fluidmushroom,蘑菇汤,300,0,1000,1500,true,Automagy:blockFluidMushroom,tuhljin.automagy.blocks.fluid.BlockFluidMushroom
104,fluidvishroom,毒菇汤,300,8,1000,1500,true,Automagy:blockFluidVishroom,tuhljin.automagy.blocks.fluid.BlockFluidVishroom
105,sap,树液,300,0,1000,1000,false,null,null
106,resin,树脂,300,0,1000,1000,false,null,null
107,latex,乳胶,300,0,1000,1000,false,null,null
108,turpentine,松节油,300,0,1000,1000,false,null,null
109,acid,酸,300,0,1000,1000,false,null,null
110,mutagen,诱变剂,295,0,1000,1000,true,gendustry:fluid.Mutagen,net.bdew.gendustry.fluids.BlockFluid
111,liquiddna,液态DNA,295,0,1000,1000,true,gendustry:fluid.LiquidDNA,net.bdew.gendustry.fluids.BlockFluid
112,protein,蛋白质,295,0,1000,1000,true,gendustry:fluid.Protein,net.bdew.gendustry.fluids.BlockFluid
113,air,空气,295,0,-100,200,false,null,null
114,liquidair,液态空气,77,0,1000,1000,false,null,null
115,deuterium,氘,295,0,-100,200,false,null,null
116,tritium,氚,295,0,-100,200,false,null,null
117,radon,氡,295,0,-100,200,false,null,null
118,fluorine,氟,53,0,-100,200,false,null,null
119,titaniumtetrachloride,四氯化钛,295,0,1000,1000,false,null,null
120,helium-3,氦-3,295,0,-100,200,false,null,null
121,nitrogendioxide,二氧化氮,295,0,-100,200,false,null,null
122,liquid_extra_heavy_oil,极重油,295,0,1000,1000,false,null,null
123,liquid_epichlorhydrin,环氧氯丙烷,295,0,1000,1000,false,null,null
124,liquid_drillingfluid,钻井液,295,0,1000,1000,false,null,null
125,liquid_toluene,甲苯,295,0,1000,1000,false,null,null
126,liquid_nitrationmixture,硝酸混酸,295,0,1000,1000,false,null,null
127,liquid_heavy_oil,重油,295,0,1000,1000,false,null,null
128,liquid_medium_oil,原油,295,0,1000,1000,false,null,null
129,liquid_light_oil,轻油,295,0,1000,1000,false,null,null
130,gas_natural_gas,天然气,295,0,-100,200,false,null,null
131,liquid_hydricsulfur,硫化氢,295,0,-100,200,false,null,null
132,gas_sulfuricgas,含硫炼油气,295,0,-100,200,false,null,null
133,gas_gas,炼油气,295,0,-100,200,false,null,null
134,liquid_sulfuricnaphtha,含硫石脑油,295,0,1000,1000,false,null,null
135,liquid_sufluriclight_fuel,含硫轻燃油,295,0,1000,1000,false,null,null
136,liquid_sulfuricheavy_fuel,含硫重燃油,295,0,1000,1000,false,null,null
137,liquid_naphtha,石脑油,295,0,1000,1000,false,null,null
138,liquid_light_fuel,轻燃油,295,0,1000,1000,false,null,null
139,liquid_heavy_fuel,重燃油,295,0,1000,1000,false,null,null
140,liquid_lpg,液化石油气,295,0,1000,1000,false,null,null
141,charcoal_byproducts,木炭副产,775,0,-100,200,false,null,null
142,molten.bisphenol_a,熔融双酚A,432,0,1000,1000,false,null,null
143,uuamplifier,UU增幅液体,295,0,1000,1000,false,null,null
144,chlorine,氯,295,0,-100,200,false,null,null
145,mercury,汞,295,0,1000,1000,false,null,null
146,nitrofuel,高十六烷值柴油,295,0,1000,1000,false,null,null
147,sodiumpersulfate,过硫酸钠,295,0,1000,1000,false,null,null
148,glyceryl,硝化甘油,295,0,1000,1000,false,null,null
149,lubricant,润滑油,295,0,1000,1000,false,null,null
150,fishoil,鱼油,295,0,1000,1000,false,null,null
151,sulfuricacid,硫酸,295,0,1000,1000,false,null,null
152,mcguffium,麦高芬239,295,0,1000,1000,false,null,null
153,refinedglue,精制胶水,295,0,1000,1000,false,null,null
154,hotfryingoil,热煎炸油,400,0,1000,1000,false,null,null
155,dimensionallytranscendentresidue,超维度残留,2000000000,0,1000,1000,false,null,null
156,exciteddtcc,激发的粗制超维度催化剂,500000000,0,1000,1000,false,null,null
157,exciteddtpc,激发的平凡超维度催化剂,500000000,0,1000,1000,false,null,null
158,exciteddtrc,激发的光辉超维度催化剂,500000000,0,1000,1000,false,null,null
159,exciteddtec,激发的异星超维度催化剂,500000000,0,1000,1000,false,null,null
160,exciteddtsc,激发的恒星超维度催化剂,500000000,0,1000,1000,false,null,null
161,rawstarmatter,浓缩原始恒星等离子体混合物,10000000,0,1000,1000,false,null,null
162,spatialfluid,扩大化空间流体,0,0,1000,1000,false,null,null
163,temporalfluid,富快子时间流体,0,0,1000,1000,false,null,null
164,primordialmatter,流体本源物质,2000000000,0,1000,1000,false,null,null
165,fieryblood,炽热的血液,6400,0,1000,1000,false,null,null
166,holywater,圣水,295,0,1000,1000,false,null,null
167,squidink,墨水,295,0,1000,1000,false,null,null
168,indigo,靛蓝染料,295,0,1000,1000,false,null,null
169,dye.watermixed.dyeblack,水溶黑色染料,295,0,1000,1000,false,null,null
170,dye.chemical.dyeblack,黑色化学染料,295,0,1000,1000,false,null,null
171,dye.watermixed.dyered,水溶红色染料,295,0,1000,1000,false,null,null
172,dye.chemical.dyered,红色化学染料,295,0,1000,1000,false,null,null
173,dye.watermixed.dyegreen,水溶绿色染料,295,0,1000,1000,false,null,null
174,dye.chemical.dyegreen,绿色化学染料,295,0,1000,1000,false,null,null
175,dye.watermixed.dyebrown,水溶棕色染料,295,0,1000,1000,false,null,null
176,dye.chemical.dyebrown,棕色化学染料,295,0,1000,1000,false,null,null
177,dye.watermixed.dyeblue,水溶蓝色染料,295,0,1000,1000,false,null,null
178,dye.chemical.dyeblue,蓝色化学染料,295,0,1000,1000,false,null,null
179,dye.watermixed.dyepurple,水溶紫色染料,295,0,1000,1000,false,null,null
180,dye.chemical.dyepurple,紫色化学染料,295,0,1000,1000,false,null,null
181,dye.watermixed.dyecyan,水溶青色染料,295,0,1000,1000,false,null,null
182,dye.chemical.dyecyan,青色化学染料,295,0,1000,1000,false,null,null
183,dye.watermixed.dyelightgray,水溶淡灰色染料,295,0,1000,1000,false,null,null
184,dye.chemical.dyelightgray,淡灰色化学染料,295,0,1000,1000,false,null,null
185,dye.watermixed.dyegray,水溶灰色染料,295,0,1000,1000,false,null,null
186,dye.chemical.dyegray,灰色化学染料,295,0,1000,1000,false,null,null
187,dye.watermixed.dyepink,水溶粉色染料,295,0,1000,1000,false,null,null
188,dye.chemical.dyepink,粉色化学染料,295,0,1000,1000,false,null,null
189,dye.watermixed.dyelime,水溶黄绿色染料,295,0,1000,1000,false,null,null
190,dye.chemical.dyelime,黄绿色化学染料,295,0,1000,1000,false,null,null
191,dye.watermixed.dyeyellow,水溶黄色染料,295,0,1000,1000,false,null,null
192,dye.chemical.dyeyellow,黄色化学染料,295,0,1000,1000,false,null,null
193,dye.watermixed.dyelightblue,水溶淡蓝色染料,295,0,1000,1000,false,null,null
194,dye.chemical.dyelightblue,淡蓝色化学染料,295,0,1000,1000,false,null,null
195,dye.watermixed.dyemagenta,水溶品红色染料,295,0,1000,1000,false,null,null
196,dye.chemical.dyemagenta,品红色化学染料,295,0,1000,1000,false,null,null
197,dye.watermixed.dyeorange,水溶橙色染料,295,0,1000,1000,false,null,null
198,dye.chemical.dyeorange,橙色化学染料,295,0,1000,1000,false,null,null
199,dye.watermixed.dyewhite,水溶白色染料,295,0,1000,1000,false,null,null
200,dye.chemical.dyewhite,白色化学染料,295,0,1000,1000,false,null,null
201,molten.glass,熔融玻璃,1500,3,1000,1000,false,null,null
202,molten.redstone,熔融红石,500,0,1000,1000,false,null,null
203,molten.blaze,熔融烈焰,6400,15,1000,1000,false,null,null
204,wet.concrete,湿混凝土,300,0,1000,1000,false,null,null
205,plasma.null,NULL等离子体,10000,15,55536,10,false,null,null
206,molten.aluminium,熔融铝,933,0,1000,1000,false,null,null
207,plasma.aluminium,铝等离子体,10000,15,55536,10,false,null,null
208,molten.americium,熔融镅,1449,3,1000,1000,false,null,null
209,plasma.americium,镅等离子体,10000,15,55536,10,false,null,null
210,molten.antimony,熔融锑,903,0,1000,1000,false,null,null
211,plasma.antimony,锑等离子体,10000,15,55536,10,false,null,null
212,plasma.argon,氩等离子体,10000,15,55536,10,false,null,null
213,molten.arsenic,熔融砷,1090,1,1000,1000,false,null,null
214,plasma.arsenic,砷等离子体,10000,15,55536,10,false,null,null
215,molten.barium,熔融钡,1000,1,1000,1000,false,null,null
216,plasma.barium,钡等离子体,10000,15,55536,10,false,null,null
217,molten.beryllium,熔融铍,1560,4,1000,1000,false,null,null
218,plasma.beryllium,铍等离子体,10000,15,55536,10,false,null,null
219,molten.bismuth,熔融铋,544,0,1000,1000,false,null,null
220,plasma.bismuth,铋等离子体,10000,15,55536,10,false,null,null
221,molten.boron,熔融硼,2349,8,1000,1000,false,null,null
222,plasma.boron,硼等离子体,10000,15,55536,10,false,null,null
223,molten.caesium,熔融铯,301,0,1000,1000,false,null,null
224,plasma.caesium,铯等离子体,10000,15,55536,10,false,null,null
225,plasma.calcium,钙等离子体,10000,15,55536,10,false,null,null
226,plasma.carbon,碳等离子体,10000,15,55536,10,false,null,null
227,plasma.cadmium,镉等离子体,10000,15,55536,10,false,null,null
228,molten.cerium,熔融铈,1068,1,1000,1000,false,null,null
229,plasma.cerium,铈等离子体,10000,15,55536,10,false,null,null
230,plasma.chlorine,氯等离子体,10000,15,55536,10,false,null,null
231,molten.chrome,熔融铬,2180,7,1000,1000,false,null,null
232,plasma.chrome,铬等离子体,10000,15,55536,10,false,null,null
233,molten.cobalt,熔融钴,1768,5,1000,1000,false,null,null
234,plasma.cobalt,钴等离子体,10000,15,55536,10,false,null,null
235,molten.copper,熔融铜,1357,2,1000,1000,false,null,null
236,plasma.copper,铜等离子体,10000,15,55536,10,false,null,null
237,plasma.deuterium,氘等离子体,10000,15,55536,10,false,null,null
238,molten.dysprosium,熔融镝,1680,4,1000,1000,false,null,null
239,plasma.dysprosium,镝等离子体,10000,15,55536,10,false,null,null
240,plasma.empty,空等离子体,10000,15,55536,10,false,null,null
241,molten.erbium,熔融铒,1802,5,1000,1000,false,null,null
242,plasma.erbium,铒等离子体,10000,15,55536,10,false,null,null
243,molten.europium,熔融铕,1099,1,1000,1000,false,null,null
244,plasma.europium,铕等离子体,10000,15,55536,10,false,null,null
245,plasma.fluorine,氟等离子体,10000,15,55536,10,false,null,null
246,molten.gadolinium,熔融钆,1585,4,1000,1000,false,null,null
247,plasma.gadolinium,钆等离子体,10000,15,55536,10,false,null,null
248,molten.gallium,熔融镓,302,0,1000,1000,false,null,null
249,plasma.gallium,镓等离子体,10000,15,55536,10,false,null,null
250,molten.gold,熔融金,1337,2,1000,1000,false,null,null
251,plasma.gold,金等离子体,10000,15,55536,10,false,null,null
252,molten.holmium,熔融钬,1734,5,1000,1000,false,null,null
253,plasma.holmium,钬等离子体,10000,15,55536,10,false,null,null
254,plasma.hydrogen,氢等离子体,10000,15,55536,10,false,null,null
255,plasma.helium,氦等离子体,10000,15,55536,10,false,null,null
256,plasma.helium_3,氦-3等离子体,10000,15,55536,10,false,null,null
257,molten.indium,熔融铟,429,0,1000,1000,false,null,null
258,plasma.indium,铟等离子体,10000,15,55536,10,false,null,null
259,molten.iridium,熔融铱,2719,10,1000,1000,false,null,null
260,plasma.iridium,铱等离子体,10000,15,55536,10,false,null,null
261,molten.iron,熔融铁,1811,5,1000,1000,false,null,null
262,plasma.iron,铁等离子体,10000,15,55536,10,false,null,null
263,molten.lanthanum,熔融镧,1193,2,1000,1000,false,null,null
264,plasma.lanthanum,镧等离子体,10000,15,55536,10,false,null,null
265,molten.lead,熔融铅,600,0,1000,1000,false,null,null
266,plasma.lead,铅等离子体,10000,15,55536,10,false,null,null
267,molten.lithium,熔融锂,454,0,1000,1000,false,null,null
268,plasma.lithium,锂等离子体,10000,15,55536,10,false,null,null
269,molten.lutetium,熔融镥,1925,6,1000,1000,false,null,null
270,plasma.lutetium,镥等离子体,10000,15,55536,10,false,null,null
271,molten.magic,熔融魔力,5000,15,1000,1000,false,null,null
272,plasma.magic,魔力等离子体,10000,15,55536,10,false,null,null
273,molten.magnesium,熔融镁,923,0,1000,1000,false,null,null
274,plasma.magnesium,镁等离子体,10000,15,55536,10,false,null,null
275,molten.manganese,熔融锰,1519,3,1000,1000,false,null,null
276,plasma.manganese,锰等离子体,10000,15,55536,10,false,null,null
277,plasma.mercury,汞等离子体,10000,15,55536,10,false,null,null
278,molten.molybdenum,熔融钼,2896,11,1000,1000,false,null,null
279,plasma.molybdenum,钼等离子体,10000,15,55536,10,false,null,null
280,molten.neodymium,熔融钕,1297,2,1000,1000,false,null,null
281,plasma.neodymium,钕等离子体,10000,15,55536,10,false,null,null
282,molten.neutronium,熔融中子,10000,15,1000,1000,false,null,null
283,plasma.neutronium,中子等离子体,10000,15,55536,10,false,null,null
284,molten.nickel,熔融镍,1728,5,1000,1000,false,null,null
285,plasma.nickel,镍等离子体,10000,15,55536,10,false,null,null
286,molten.niobium,熔融铌,2750,10,1000,1000,false,null,null
287,plasma.niobium,铌等离子体,10000,15,55536,10,false,null,null
288,plasma.nitrogen,氮等离子体,10000,15,55536,10,false,null,null
289,molten.osmium,熔融锇,3306,13,1000,1000,false,null,null
290,plasma.osmium,锇等离子体,10000,15,55536,10,false,null,null
291,plasma.oxygen,氧等离子体,10000,15,55536,10,false,null,null
292,molten.palladium,熔融钯,1828,5,1000,1000,false,null,null
293,plasma.palladium,钯等离子体,10000,15,55536,10,false,null,null
294,plasma.phosphorus,磷等离子体,10000,15,55536,10,false,null,null
295,molten.platinum,熔融铂,2041,6,1000,1000,false,null,null
296,plasma.platinum,铂等离子体,10000,15,55536,10,false,null,null
297,molten.plutonium,熔融钚-239,912,0,1000,1000,false,null,null
298,plasma.plutonium,钚-239等离子体,10000,15,55536,10,false,null,null
299,molten.plutonium241,熔融钚-241,912,0,1000,1000,false,null,null
300,plasma.plutonium241,钚-241等离子体,10000,15,55536,10,false,null,null
301,molten.potassium,熔融钾,336,0,1000,1000,false,null,null
302,plasma.potassium,钾等离子体,10000,15,55536,10,false,null,null
303,molten.praseodymium,熔融镨,1208,2,1000,1000,false,null,null
304,plasma.praseodymium,镨等离子体,10000,15,55536,10,false,null,null
305,molten.promethium,熔融钷,1315,2,1000,1000,false,null,null
306,plasma.promethium,钷等离子体,10000,15,55536,10,false,null,null
307,plasma.radon,氡等离子体,10000,15,55536,10,false,null,null
308,molten.rubidium,熔融铷,312,0,1000,1000,false,null,null
309,plasma.rubidium,铷等离子体,10000,15,55536,10,false,null,null
310,molten.samarium,熔融钐,1345,2,1000,1000,false,null,null
311,plasma.samarium,钐等离子体,10000,15,55536,10,false,null,null
312,molten.scandium,熔融钪,1814,5,1000,1000,false,null,null
313,plasma.scandium,钪等离子体,10000,15,55536,10,false,null,null
314,molten.silicon,熔融硅,2273,8,1000,1000,false,null,null
315,plasma.silicon,硅等离子体,10000,15,55536,10,false,null,null
316,molten.silver,熔融银,1234,2,1000,1000,false,null,null
317,plasma.silver,银等离子体,10000,15,55536,10,false,null,null
318,plasma.sodium,钠等离子体,10000,15,55536,10,false,null,null
319,plasma.strontium,锶等离子体,10000,15,55536,10,false,null,null
320,plasma.sulfur,硫等离子体,10000,15,55536,10,false,null,null
321,molten.tantalum,熔融钽,3290,13,1000,1000,false,null,null
322,plasma.tantalum,钽等离子体,10000,15,55536,10,false,null,null
323,molten.tellurium,熔融碲,722,0,1000,1000,false,null,null
324,plasma.tellurium,碲等离子体,10000,15,55536,10,false,null,null
325,molten.terbium,熔融铽,1629,4,1000,1000,false,null,null
