Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
air,2000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xic2.itemCellEmpty@5,压缩空气单元,IC2:itemCellEmpty
allylchloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30682,烯丙基氯单元,gregtech:gt.metaitem.01
aluminum.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@4,粘土桶(熔融铝),IguanaTweaksTConstruct:clayBucketsTinkers
aluminum.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@4,桶装熔融铝,TConstruct:buckets
aluminumbrass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@8,粘土桶(熔融黄铜),IguanaTweaksTConstruct:clayBucketsTinkers
aluminumbrass.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@8,桶装熔融铝黄铜,TConstruct:buckets
alumite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@10,粘土桶(熔融耐酸铝),IguanaTweaksTConstruct:clayBucketsTinkers
alumite.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@10,桶装熔融耐酸铝,TConstruct:buckets
ammonia,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30659,氨单元,gregtech:gt.metaitem.01
ammonium chloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@50,氯化铵单元,bartworks:gt.bwMetaGeneratedcell
ammonium chloride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@50,氯化铵 Capsule,bartworks:gt.bwMetaGeneratedcapsule
ammonium nitrate solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11036,硝酸铵溶液单元,bartworks:gt.bwMetaGeneratedcell
ammonium nitrate solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11036,硝酸铵溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
aniline,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.aniline@0,苯胺单元,miscutils:aniline
antimony pentachloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10032,五氯化锑单元,bartworks:gt.bwMetaGeneratedcell
antimony pentachloride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10032,五氯化锑 Capsule,bartworks:gt.bwMetaGeneratedcapsule
antimony pentachloride solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10031,五氯化锑溶液单元,bartworks:gt.bwMetaGeneratedcell
antimony pentachloride solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10031,五氯化锑溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
antimony pentafluoride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10033,五氟化锑单元,bartworks:gt.bwMetaGeneratedcell
antimony pentafluoride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10033,五氟化锑 Capsule,bartworks:gt.bwMetaGeneratedcapsule
antimony pentafluoride solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10107,五氟化锑溶液单元,bartworks:gt.bwMetaGeneratedcell
antimony pentafluoride solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10107,五氟化锑溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
antimony trichloride solution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@10030,三氯化锑溶液单元,bartworks:gt.bwMetaGeneratedcell
antimony trichloride solution,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@10030,三氯化锑溶液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
aqua regia,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@48,王水单元,bartworks:gt.bwMetaGeneratedcell
aqua regia,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@48,王水 Capsule,bartworks:gt.bwMetaGeneratedcapsule
ardite.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@6,粘土桶(熔融阿迪特),IguanaTweaksTConstruct:clayBucketsTinkers
ardite.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@6,桶装熔融阿迪特,TConstruct:buckets
argon,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30024,氩单元,gregtech:gt.metaitem.01
astralcatalystbase,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@23103,基础星辉催化剂单元,bartworks:gt.bwMetaGeneratedcell
astralcatalystbase,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@23103,基础星辉催化剂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
astralcatalystbaseexcited,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@23104,激发的基础星辉催化剂单元,bartworks:gt.bwMetaGeneratedcell
astralcatalystbaseexcited,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@23104,激发的基础星辉催化剂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
astralcatalystreforged,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@23105,重铸星辉催化剂单元,bartworks:gt.bwMetaGeneratedcell
astralcatalystreforged,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@23105,重铸星辉催化剂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
astralcatalystreforgedexcited,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@23106,激发的重铸星辉催化剂单元,bartworks:gt.bwMetaGeneratedcell
astralcatalystreforgedexcited,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@23106,激发的重铸星辉催化剂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
astralfuelmki,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@23101,星辉基燃料MkI单元,bartworks:gt.bwMetaGeneratedcell
astralfuelmki,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@23101,星辉基燃料MkI Capsule,bartworks:gt.bwMetaGeneratedcapsule
astralfuelmkidepleted,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@23102,星辉基燃料MkI(枯竭的)单元,bartworks:gt.bwMetaGeneratedcell
astralfuelmkidepleted,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@23102,星辉基燃料MkI(枯竭的) Capsule,bartworks:gt.bwMetaGeneratedcapsule
astralresidue,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@23201,星辉残余单元,bartworks:gt.bwMetaGeneratedcell
astralresidue,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@23201,星辉残余 Capsule,bartworks:gt.bwMetaGeneratedcapsule
bacterialsludge,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@1,菌泥单元,gregtech:gt.metaitem.98
bacterialsludge,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketSludge@0,菌泥桶,GalacticraftMars:item.bucketSludge
bastnasite rarer earth oxide suspension,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11115,氟碳镧铈罕土氧化物悬浊液单元,bartworks:gt.bwMetaGeneratedcell
bastnasite rarer earth oxide suspension,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11115,氟碳镧铈罕土氧化物悬浊液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
bauxiteslurry,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30409,铝土泥浆单元,gregtech:gt.metaitem.01
benzene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30686,苯单元,gregtech:gt.metaitem.01
binnie.bacteria,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.98@15,细菌单元,gregtech:gt.metaitem.98
binnie.bacteria,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@769,细菌玻璃罐,BinnieCore:containerCylinder
binnie.bacteriapoly,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@770,聚合菌玻璃罐,BinnieCore:containerCylinder
binnie.bacteriavector,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@772,细菌质粒玻璃罐,BinnieCore:containerCylinder
binnie.dna.raw,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@771,DNA 液体玻璃罐,BinnieCore:containerCylinder
binnie.growthmedium,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.containerCapsule@768,binniecore.item.container.capsule.binnie.growthmedium,BinnieCore:containerCapsule
binnie.growthmedium,1000,1xitem.misc@8,玻璃罐,Genetics:misc,1xitem.containerCylinder@768,培养基玻璃罐,BinnieCore:containerCylinder
binnie.growthmedium,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.containerCan@768,binniecore.item.container.can.binnie.growthmedium,BinnieCore:containerCan
binnie.growthmedium,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.containerGlass@768,binniecore.item.container.glass.binnie.growthmedium,BinnieCore:containerGlass
binnie.growthmedium,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.containerBucket@768,binniecore.item.container.bucket.binnie.growthmedium,BinnieCore:containerBucket
binnie.growthmedium,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.containerRefractory@768,binniecore.item.container.refractory.binnie.growthmedium,BinnieCore:containerRefractory
biodiesel,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30627,生物柴油单元,gregtech:gt.metaitem.01
bioethanol,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleEthanol@0,耐火乙醇胶囊,Forestry:waxCapsuleEthanol
bioethanol,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryEthanol@0,耐火乙醇胶囊,Forestry:refractoryEthanol
bioethanol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30706,乙醇单元,gregtech:gt.metaitem.01
bioethanol,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canEthanol@0,乙醇罐,Forestry:canEthanol
bioethanol,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.for.bucketEthanol@0,乙醇桶,Forestry:bucketEthanol
bioethanol,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@4,乙醇虚空胶囊,MagicBees:capsule.void
bioethanol,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@4,乙醇魔力胶囊,MagicBees:capsule.magic
biofuel,1000,1xitem.ItemBioFuelCanister@1001,空罐,GalaxySpace:item.ItemBioFuelCanister,1xitem.ItemBioFuelCanister@1,生物燃料罐,GalaxySpace:item.ItemBioFuelCanister
biohmediumsterilized,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30604,灭菌生物培养基单元,gregtech:gt.metaitem.01
biohmediumsterilized,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@449,灭菌生物培养基胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
biomass,1000,1xitem.for.canEmpty@0,罐,Forestry:canEmpty,1xitem.for.canBiomass@0,生物质罐,Forestry:canBiomass
biomass,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xitem.for.waxCapsuleBiomass@0,耐火生物质胶囊,Forestry:waxCapsuleBiomass
biomass,1000,1xitem.for.refractoryEmpty@0,耐火胶囊,Forestry:refractoryEmpty,1xitem.for.refractoryBiomass@0,耐火生物质胶囊,Forestry:refractoryBiomass
biomass,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30704,生物质单元,gregtech:gt.metaitem.01
biomass,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.for.bucketBiomass@0,生物质桶,Forestry:bucketBiomass
biomass,8000,1xitem.capsule.void@0,空虚空胶囊,MagicBees:capsule.void,1xitem.capsule.void@3,生物质虚空胶囊,MagicBees:capsule.void
biomass,2000,1xitem.capsule.magic@0,空魔力胶囊,MagicBees:capsule.magic,1xitem.capsule.magic@3,生物质魔力胶囊,MagicBees:capsule.magic
biomediumraw,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30603,生物培养基原液单元,gregtech:gt.metaitem.01
biomediumraw,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedGTEnhancementcapsule@448,生物培养基原液胶囊,bartworks:gt.bwMetaGeneratedGTEnhancementcapsule
blood,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@16,粘土桶(血),IguanaTweaksTConstruct:clayBucketsTinkers
blood,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@16,血桶,TConstruct:buckets
boricacid,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.boricacid@0,硼酸单元,miscutils:boricacid
bronze.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,粘土桶(烤制),IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@7,粘土桶(熔融青铜),IguanaTweaksTConstruct:clayBucketsTinkers
bronze.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@7,桶装熔融青铜,TConstruct:buckets
butadiene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30646,丁二烯单元,gregtech:gt.metaitem.01
butane,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30644,丁烷单元,gregtech:gt.metaitem.01
butanol,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.butanol@0,丁醇单元,miscutils:butanol
butene,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30645,丁烯单元,gregtech:gt.metaitem.01
butyraldehyde,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30793,丁醛单元,gregtech:gt.metaitem.01
cadaverine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.cadaverine@0,尸胺单元,miscutils:cadaverine
calcium chloride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@63,氯化钙 Capsule,bartworks:gt.bwMetaGeneratedcapsule
calcium chloride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@63,氯化钙单元,bartworks:gt.bwMetaGeneratedcell
calcium fluoride,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11124,氟化钙单元,bartworks:gt.bwMetaGeneratedcell
calcium fluoride,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11124,氟化钙 Capsule,bartworks:gt.bwMetaGeneratedcapsule
calciumacetatesolution,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30671,乙酸钙溶液单元,gregtech:gt.metaitem.01
carbondioxide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30497,二氧化碳单元,gregtech:gt.metaitem.01
carbondisulfide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xitem.CarbonDisulfide@0,二硫化碳单元,miscutils:CarbonDisulfide
carbonmonoxide,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30674,一氧化碳单元,gregtech:gt.metaitem.01
cerium chloride concentrate,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11433,氯化铈浓缩液单元,bartworks:gt.bwMetaGeneratedcell
cerium chloride concentrate,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11433,氯化铈浓缩液 Capsule,bartworks:gt.bwMetaGeneratedcapsule
cerium extracting nano resin,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.bwMetaGeneratedcell@11405,铈萃取纳米树脂单元,bartworks:gt.bwMetaGeneratedcell
cerium extracting nano resin,1000,1xitem.for.waxCapsule@0,蜂蜡胶囊,Forestry:waxCapsule,1xgt.bwMetaGeneratedcapsule@11405,铈萃取纳米树脂 Capsule,bartworks:gt.bwMetaGeneratedcapsule
charcoal_byproducts,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30675,木炭副产单元,gregtech:gt.metaitem.01
chloramine,1000,1xic2.itemCellEmpty@0,空单元,IC2:itemCellEmpty,1xgt.metaitem.01@30655,氯胺单元,gregtech:gt.metaitem.01
