Category,Name,Key,Parents,ParentsHidden,Siblings,PermWarp,StickyWarp,Tag,ItemTrigger,EntityTrigger,AspectTrigger
THAUMATURGY,石英杖芯,ROD_quartz_staff,ROD_quartz,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xVitreus;6xOrdo;6xAer;3xTerra,,,
THAUMATURGY,法杖核心:九狱,FOCUSHELLBAT,,FOCUSFIRE;INFUSION,,1,1,12xPraecantatio;9xIter;9xIgnis;6xBestia;3xMotus,,Thaumcraft.Firebat,Ignis
THAUMATURGY,魔力充能中继器,VISCHARGERELAY,VISPOWER;WANDPED,ROD_greatwood,,0,0,12xPotentia;12xPraecantatio;9xMachina;9xAuram;6xIgnis;3xAer,,,
THAUMATURGY,寒霜杖柄,ROD_ice,ROD_greatwood;INFUSION,,TB.ROD_ice,0,0,9xInstrumentum;9xPraecantatio;6xAqua;6xGelum;3xArbor,,,
THAUMATURGY,高级节点稳定器,NODESTABILIZERADV,NODESTABILIZER,,TB.NODESTABILIZERADV,1,1,12xAuram;9xPotentia;9xPraecantatio;6xOrdo;3xAlienis,,,
THAUMATURGY,甘蔗杖柄,ROD_reed,ROD_greatwood;INFUSION,,TB.ROD_reed,0,0,9xInstrumentum;9xPraecantatio;6xAer;6xHerba;3xArbor,,,
THAUMATURGY,魔法手杖,ROD_greatwood_staff,ROD_silverwood,,TXROD_greatwood_staff,0,0,12xInstrumentum;12xPraecantatio;9xArbor;6xIgnis;6xAer;3xTerra,,,
THAUMATURGY,银树杖芯,ROD_silverwood_staff,ROD_silverwood,ROD_greatwood_staff,,0,0,15xInstrumentum;15xPraecantatio;12xArbor;9xOrdo;6xAer;3xTerra,,,
THAUMATURGY,法杖核心:寒霜,FOCUSFROST,FOCUSFIRE,,,0,0,9xAqua;9xGelum;6xPraecantatio;3xMotus,,,
THAUMATURGY,魔力存储,VISAMULET,WANDPED,,,0,0,15xVacuos;15xAuram;9xPraecantatio;12xPotentia;6xVitreus;3xTempus,,,
THAUMATURGY,核心镶饰台,FOCALMANIPULATION,VISPOWER,INFUSION;FOCUSFIRE,,0,0,15xPotentia;12xPraecantatio;12xInstrumentum;9xVitreus;9xFabrico;3xAlienis;5xCognitio,,,
THAUMATURGY,法杖核心,FOCUSFIRE,BASICTHAUMATURGY,,thaumicenergistics.Pseudo.FOCUSFIRE,0,0,6xIgnis;6xPraecantatio;3xMotus,,,
THAUMATURGY,金杖端,CAP_gold,BASICTHAUMATURGY,,TB.CAP_gold,0,0,9xInstrumentum;6xMetallum;3xLucrum,,,
THAUMATURGY,银树杖柄,ROD_silverwood,ROD_greatwood;INFUSION,,TB.ROD_silverwood,0,0,12xInstrumentum;12xPraecantatio;9xCognitio;6xHerba;3xArbor,,,
THAUMATURGY,掌控魔力,VISPOWER,NODESTABILIZER,,TB.VISPOWER;thaumicenergistics.Pseudo.VISPOWER,0,0,12xAuram;9xPotentia;3xPraecantatio;6xMachina,,,
THAUMATURGY,法杖核心手袋,FOCUSPOUCH,FOCUSFIRE,,,0,0,9xInstrumentum;9xVacuos;6xPraecantatio;3xPannus,,,
THAUMATURGY,铜杖端,CAP_copper,BASICTHAUMATURGY,,,0,0,3xInstrumentum;6xMetallum;6xPermutatio,,,
THAUMATURGY,甘蔗杖芯,ROD_reed_staff,ROD_reed,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xHerba;6xAer;6xIgnis;3xTerra,,,
THAUMATURGY,法杖核心:震击,FOCUSSHOCK,FOCUSFIRE,,,0,0,9xAer;6xPraecantatio;9xPotentia;3xMotus,,,
THAUMATURGY,银杖端,CAP_silver,CAP_gold;INFUSION,,,0,0,3xMetallum;3xLucrum;3xInstrumentum;3xAuram,,,
THAUMATURGY,石英杖柄,ROD_quartz,ROD_greatwood;INFUSION,,TB.ROD_quartz,0,0,9xInstrumentum;9xPraecantatio;6xTerra;6xOrdo;3xArbor,,,
THAUMATURGY,tc.research_name.CAP_iron,CAP_iron,,,,0,0,,,,
THAUMATURGY,法杖核心:守护,FOCUSWARDING,FOCUSEXCAVATION;INFUSION,,,0,0,12xTerra;12xCognitio;9xOrdo;6xTutamen;3xPraecantatio,,,
THAUMATURGY,黑曜石杖柄,ROD_obsidian,ROD_greatwood;INFUSION,,TB.ROD_obsidian,0,0,9xInstrumentum;9xPraecantatio;6xIgnis;6xPotentia;3xArbor,,,
THAUMATURGY,法杖核心:便携式洞穴,FOCUSPORTABLEHOLE,FOCUSTRADE;INFUSION,,,0,0,12xAer;12xIter;9xAlienis;6xPerditio;3xPraecantatio,,,
THAUMATURGY,神秘杖端,CAP_thaumium,CAP_gold;THAUMIUM;INFUSION,,TXCAP_thaumium,0,0,6xInstrumentum;9xAuram;12xMetallum;3xPraecantatio,,,
THAUMATURGY,tc.research_name.ROD_wood,ROD_wood,,,,0,0,,,,
THAUMATURGY,宏伟之木杖柄,ROD_greatwood,BASICTHAUMATURGY,,TB.ROD_greatwood;TXROD_greatwood,0,0,9xInstrumentum;6xPraecantatio;3xArbor,,,
THAUMATURGY,烈焰杖柄,ROD_blaze,ROD_greatwood;INFUSION,,TB.ROD_blaze,0,0,9xInstrumentum;9xPraecantatio;6xAer;6xHerba;3xArbor,,,
THAUMATURGY,白骨杖芯,ROD_bone_staff,ROD_bone,ROD_greatwood_staff,,2,1,12xInstrumentum;12xPraecantatio;9xExanimis;6xPerditio;6xAer;3xTerra,,,
THAUMATURGY,黑曜石杖芯,ROD_obsidian_staff,ROD_obsidian,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xTerra;6xIgnis;6xAer;3xPotentia,,,
THAUMATURGY,法杖核心:更替,FOCUSTRADE,FOCUSFIRE,,,0,0,9xPermutatio;9xPraecantatio;6xTerra;3xMotus,,,
THAUMATURGY,冰霜杖芯,ROD_ice_staff,ROD_ice,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xGelum;6xAqua;6xAer;3xTerra,,,
THAUMATURGY,法杖充能基座,WANDPED,INFUSION;NODEPRESERVE;NODESTABILIZER,,GADOMANCY.PSEUDO.WANDPED,0,0,12xAuram;9xPotentia;3xPraecantatio;6xPermutatio,,,
THAUMATURGY,烈焰杖芯,ROD_blaze_staff,ROD_blaze,ROD_greatwood_staff,,0,0,12xInstrumentum;12xPraecantatio;9xIgnis;6xPotentia;6xAer;3xTerra,,,
ALCHEMY,源动之焰,ALUMENTUM,CRUCIBLE,,,0,0,3xIgnis;3xPraecantatio;6xPerditio,,,
ALCHEMY,坩埚,CRUCIBLE,,,TB.CRUCIBLE,0,0,,,,
ALCHEMY,混沌过程,ENTROPICPROCESSING,ALCHEMICALDUPLICATION,,,0,0,9xFabrico;9xPraecantatio;6xLucrum;3xPerditio,,,
ALCHEMY,嬗变术:炼铁术,TRANSIRON,THAUMIUM,,WG.TRANSIRON,0,0,6xMetallum;3xOrdo;3xPermutatio,,,
ALCHEMY,要素源质管道,TUBES,DISTILESSENTIA,,,0,0,9xPraecantatio;6xPermutatio;9xAqua;3xOrdo,,,
ALCHEMY,嬗变术:炼钢术,GT_IRON_TO_STEEL,TRANSIRON;GT_WOOD_TO_CHARCOAL,,,0,0,5xMetallum;3xPermutatio;3xOrdo,,,
ALCHEMY,嬗变术:电池合金,GT_TRANSBATTERYALLOY,GT_TRANSBRONZE;GT_TRANSANTIMONY,,,0,0,5xMetallum;6xPermutatio;3xIgnis,,,
ALCHEMY,嬗变术:炼锡术,TRANSTIN,TRANSIRON,,,0,0,9xMetallum;6xVitreus;3xPermutatio,,,
ALCHEMY,嬗变术:水,GT_FILL_WATER_BUCKET,,,,0,0,4xPermutatio;4xAqua,,,
ALCHEMY,祛邪肥皂,SANESOAP,BATHSALTS,,,0,0,12xSano;12xAlienis;9xCognitio;6xOrdo;3xPraecantatio,,,
ALCHEMY,嬗变术:焊锡,GT_TRANSSOLDERINGALLOY,GT_TRANSBRONZE;GT_TRANSANTIMONY,,,0,0,5xMetallum;6xPermutatio;3xIgnis,,,
ALCHEMY,嬗变术:炼锑术,GT_TRANSANTIMONY,GT_TRANSZINC;TRANSLEAD,,,0,0,5xMetallum;3xPermutatio;3xAqua,,,
ALCHEMY,晶簇化:银,PURESILVER,PUREIRON,,,0,0,9xMetallum;9xLucrum;6xOrdo;3xPraecantatio,,,
ALCHEMY,晶簇化:锡,PURETIN,PUREIRON,,,0,0,9xMetallum;9xVitreus;6xOrdo;3xPraecantatio,,,
ALCHEMY,嬗变术:炼铜术,TRANSCOPPER,TRANSIRON,,,0,0,9xMetallum;6xOrdo;3xPermutatio,,,
ALCHEMY,奥法离心机,CENTRIFUGE,TUBEFILTER,,WG.CENTRIFUGE,0,0,12xFabrico;9xPerditio;12xPermutatio;6xPraecantatio;3xMachina,,,
ALCHEMY,虚空罐子,JARVOID,JARLABEL,,TXJARVOID,0,0,6xVacuos;9xPerditio;6xPraecantatio,,,
ALCHEMY,源质蒸馏,DISTILESSENTIA,NITOR;ALUMENTUM,,JARLABEL;TB.DISTILESSENTIA;TXDISTILESSENTIA;thaumicenergistics.Pseudo.DISTILESSENTIA,0,0,9xLimus;6xPraecantatio;3xIgnis;9xAqua,,,
ALCHEMY,碎片重结晶术,GT_CRYSTALLISATION,ALCHEMICALMANUFACTURE,,,0,0,5xVitreus;3xPermutatio;3xOrdo,,,
ALCHEMY,玻璃安瓿,PHIAL,,,,0,0,,,,
ALCHEMY,嬗变术:炼锌术,GT_TRANSZINC,TRANSTIN,,,0,0,5xMetallum;3xPermutatio;3xSano,,,
ALCHEMY,嬗变术:炼铝术,GT_TRANSALUMINIUM,GT_ADVANCEDMETALLURGY,,,0,0,5xMetallum;3xPermutatio;3xVolatus;3xOrdo;3xIgnis,,,
ALCHEMY,嬗变术:青铜,GT_TRANSBRONZE,TRANSTIN;TRANSCOPPER,,,0,0,5xMetallum;3xPermutatio;3xInstrumentum,,,
ALCHEMY,嬗变术:琥珀金,GT_TRANSELECTRUM,GT_TRANSBRONZE;TRANSGOLD;TRANSSILVER,,,0,0,5xMetallum;3xPermutatio;3xLucrum,,,
ALCHEMY,神秘锭,THAUMIUM,CRUCIBLE,,TB.THAUMIUM,0,0,3xMetallum;3xPraecantatio,,,Metallum
ALCHEMY,嬗变术:炼铅术,TRANSLEAD,TRANSIRON,,,0,0,9xMetallum;6xOrdo;3xPermutatio,,,
ALCHEMY,嬗变术:炼金术,TRANSGOLD,TRANSIRON,,,0,0,9xMetallum;6xLucrum;3xPermutatio,,,
ALCHEMY,晶簇化:铜,PURECOPPER,PUREIRON,,,0,0,9xMetallum;15xOrdo;3xPraecantatio,,,
ALCHEMY,神秘源质罐子,THAUMIUMREINFORCEDJAR,JARLABEL,,,0,0,3xTutamen;3xAqua;3xLucrum;3xVacuos,,,
ALCHEMY,嬗变术:木炭,GT_WOOD_TO_CHARCOAL,ALUMENTUM,,,0,0,10xArbor;8xVacuos;8xIgnis,,,
ALCHEMY,嬗变术:白铜,GT_TRANSCUPRONICKEL,GT_TRANSBRONZE;GT_TRANSNICKEL,,,0,0,5xMetallum;6xPermutatio;3xIgnis,,,
ALCHEMY,净化浴盐,BATHSALTS,,,WG.BATHSALTS,0,0,9xSano;6xCognitio;9xAuram;6xOrdo;3xPraecantatio,,,
ALCHEMY,嬗变术:炼钴术,GT_TRANSCOBALT,GT_TRANSNICKEL,,,0,0,5xMetallum;3xPermutatio;3xInstrumentum,,,
ALCHEMY,自动炼金,THAUMATORIUM,CENTRIFUGE,,,0,0,12xFabrico;9xAqua;12xPermutatio;6xPraecantatio;3xCognitio,,,
ALCHEMY,炼金制造,ALCHEMICALMANUFACTURE,ALCHEMICALDUPLICATION,,WG.ALCHEMICALMANUFACTURE,0,0,9xFabrico;9xPraecantatio;6xLucrum;3xPermutatio,,,
ALCHEMY,死亡之水,LIQUIDDEATH,ENTROPICPROCESSING,,,2,1,9xAqua;9xMortuus;6xPerditio;6xVenenum;3xTenebrae,,,Mortuus;Venenum
ALCHEMY,进阶金属嬗变术,GT_ADVANCEDMETALLURGY,GT_TRANSBISMUTH;GT_IRON_TO_STEEL;GT_TRANSSOLDERINGALLOY;GT_TRANSBATTERYALLOY;GT_TRANSBRASS;GT_TRANSELECTRUM;GT_TRANSCUPRONICKEL;GT_TRANSINVAR,,,0,0,50xMetallum;20xPermutatio;20xCognitio;20xPraecantatio;20xNebrisum;20xMagneto,,,
ALCHEMY,嬗变术:陨石,GT_TRANSSKYSTONE,GT_ADVANCEDMETALLURGY,,,0,0,5xMetallum;3xPermutatio;3xVolatus;3xAlienis;3xTerra,,,
ALCHEMY,天域花,ETHEREALBLOOM,CRUCIBLE,,,0,0,9xVitium;9xPraecantatio;6xSano;6xHerba;3xLux;3xTerra,,,Vitium
ALCHEMY,灵液源质罐子,ICHORJAR,THAUMIUMREINFORCEDJAR,ICHOR,,0,0,3xTutamen;3xAlienis;3xAqua;5xLucrum;5xVacuos,,,
ALCHEMY,嬗变术:黄铜,GT_TRANSBRASS,GT_TRANSBRONZE;GT_TRANSZINC,,,0,0,5xMetallum;3xPermutatio;3xInstrumentum,,,
ALCHEMY,魔力油脂,TALLOW,CRUCIBLE,,TXTALLOW,0,0,6xCorpus;6xPraecantatio;3xMotus,,,
ALCHEMY,嬗变术:炼镍术,GT_TRANSNICKEL,TRANSLEAD,,,0,0,5xMetallum;3xPermutatio;3xIgnis,,,
ALCHEMY,嬗变术:玄武岩,GT_TRANSMINERAL,GT_ADVANCEDMETALLURGY,,,0,0,5xMetallum;3xPermutatio;3xVolatus;3xMagneto;3xTerra,,,
ALCHEMY,源质结晶器 ,ESSENTIACRYSTAL,TUBES,,,0,0,12xAqua;9xPraecantatio;12xPermutatio;6xVitreus;3xTerra,,,
ALCHEMY,奥术浴场,ARCANESPA,BATHSALTS,,,0,0,9xOrdo;9xAqua;6xMachina;6xSano;3xPraecantatio,,,
ALCHEMY,嬗变术:炼银术,TRANSSILVER,TRANSIRON,,,0,0,9xMetallum;6xLucrum;3xPermutatio,,,
ALCHEMY,金属晶簇化,PUREIRON,THAUMIUM,,WG.PUREIRON,0,0,6xMetallum;6xOrdo;3xVitreus,,,
ALCHEMY,炼金复制,ALCHEMICALDUPLICATION,TALLOW,,thaumicenergistics.Pseudo.ALCHEMICALDUPLICATION,0,0,9xFabrico;6xPraecantatio;9xLucrum;3xPermutatio,,,
ALCHEMY,嬗变术:殷钢,GT_TRANSINVAR,GT_TRANSBRONZE;GT_TRANSNICKEL,,,0,0,5xMetallum;3xPermutatio;3xGelum,,,
ALCHEMY,闪耀之光,NITOR,CRUCIBLE,,,0,0,6xLux;3xIgnis;3xPraecantatio,,,
ALCHEMY,腐化瓶,BOTTLETAINT,ENTROPICPROCESSING,,,3,2,12xVitium;12xPraecantatio;12xAqua;9xPerditio;9xTenebrae;6xVenenum;3xStrontio,,,Vitium
ALCHEMY,晶簇化:金,PUREGOLD,PUREIRON,,,0,0,9xMetallum;9xLucrum;6xOrdo;3xPraecantatio,,,
ALCHEMY,高级源质管道,TUBEFILTER,TUBES,,thaumicenergistics.Pseudo.TUBEFILTER,0,0,12xPraecantatio;9xPermutatio;12xAqua;6xOrdo;3xLimus,,,
ALCHEMY,晶簇化:铅,PURELEAD,PUREIRON,,,0,0,9xMetallum;9xPermutatio;6xOrdo;3xPraecantatio,,,
ALCHEMY,嬗变术:炼铋术,GT_TRANSBISMUTH,GT_TRANSCOBALT,,,0,0,5xMetallum;3xPermutatio;3xInstrumentum,,,
ALCHEMY,要素罐子和标签,JARLABEL,DISTILESSENTIA,,GADOMANCY.PSEUDO.JARLABEL;WG.JARLABEL,0,0,,,,
ARTIFICE,应急护盾护身符,RUNICEMERGENCY,RUNICARMOR,,,0,0,15xVacuos;12xPraecantatio;9xTerra;9xTutamen;6xAlienis;6xSano;3xCognitio,,,
ARTIFICE,奥术世界的内燃引擎,ESSENTIA_GENERATOR,INFUSION,,,0,0,10xMachina;10xPraecantatio;10xPotentia;10xElectrum;10xPermutatio,,,
ARTIFICE,揭示之护目镜,GOGGLES,THAUMOMETER,,,0,0,3xAuram;9xPraecantatio;9xSensus;6xInstrumentum,,,
ARTIFICE,魔力布匹,ENCHFABRIC,,,TB.ENCHFABRIC;WG.ENCHFABRIC,0,0,6xPannus;6xPraecantatio;3xTutamen,,,
ARTIFICE,奥术升级槽,TINKERSAUGMENTATION,,,,0,0,20xInstrumentum;20xPraecantatio,,,
ARTIFICE,炽心镐,ELEMENTALPICK,THAUMIUM;INFUSION,,,0,0,15xInstrumentum;12xIgnis;9xPerfodio;6xLucrum;3xPraecantatio,,,
ARTIFICE,奔流斧,ELEMENTALAXE,THAUMIUM;INFUSION,,,0,0,15xInstrumentum;12xMotus;9xFabrico;6xAqua;3xPraecantatio,,,
ARTIFICE,台桌,TABLE,,,,0,0,,,,
ARTIFICE,炼狱熔炉,INFERNALFURNACE,NITOR;ALUMENTUM,,WG.INFERNALFURNACE,1,1,6xIgnis;3xMetallum;3xFabrico;3xAuram,,,
ARTIFICE,旗帜,BANNERS,,,,0,0,3xSensus;3xPannus;1xPraecantatio,1xtile.blockWoodenDevice@8,,
ARTIFICE,后土铲,ELEMENTALSHOVEL,THAUMIUM;INFUSION,,,0,0,15xInstrumentum;12xTerra;9xPerfodio;6xFabrico;3xPraecantatio,,,
ARTIFICE,奥术悬浮台,LEVITATOR,NITOR,,TB.LEVITATOR,0,0,3xAer;6xVolatus;3xPraecantatio;6xMotus,,,
ARTIFICE,奥法腰带,HOVERGIRDLE,HOVERHARNESS,,,0,0,15xVolatus;12xMotus;9xIter;9xAer;6xPraecantatio;3xTutamen,,,Volatus
ARTIFICE,守护之奥术,WARDEDARCANA,THAUMIUM,,thaumicenergistics.Pseudo.WARDEDARCANA,0,0,6xTutamen;6xInstrumentum;6xMachina;3xMotus,,,
ARTIFICE,基础炼化学,BASICARTIFACE,,,TXBASICARTIFACE,0,0,,,,
ARTIFICE,咒波洗涤器,FLUXSCRUB,VISPOWER;BELLOWS;TUBES,INFUSION,,0,0,15xAqua;12xPraecantatio;9xAer;6xVinculum;3xVitium,,,
ARTIFICE,魔导透镜,THAUMOMETER,,,,0,0,,,,
ARTIFICE,旅行者之靴,BOOTSTRAVELLER,ENCHFABRIC;INFUSION,,TXBOOTSTRAVELLER,0,0,9xAqua;15xIter;6xTerra;12xVolatus;3xAer,,,
ARTIFICE,研究台,RESTABLE,TABLE,,,0,0,,,,
ARTIFICE,进阶扩散单元,ESSENTIA_CELL,ESSENTIA_GENERATOR,,,0,0,10xAqua;10xVacuos;10xOrdo;10xPraecantatio;10xPermutatio,,,
ARTIFICE,源质之镜,MIRRORESSENTIA,MIRROR,,WG.MIRRORESSENTIA,2,1,15xPraecantatio;12xIter;9xVitreus;9xAlienis;6xCognitio;6xPotentia;3xAqua,,,
ARTIFICE,元始之矢,PRIMALARROW,BONEBOW,,,0,0,3xTelum;3xAer;3xIgnis;3xAqua;3xTerra;3xOrdo;3xPerditio,,,
ARTIFICE,学徒级魔法能源转换,GT_MAGICENERGY2,GT_MAGICENERGY,,,0,0,10xMachina;10xCognitio;20xPotentia;10xElectrum,,,
ARTIFICE,凋零防护指环,WITHERRING,RUNICARMOR,,RUNICARMOR,1,1,15xAlienis;12xPraecantatio;9xSuperbia;6xSpiritus;3xInfernus,,,
ARTIFICE,奥术之耳,ARCANEEAR,GOGGLES,,,0,0,9xAer;9xSensus;3xPraecantatio;6xPotentia,,,
ARTIFICE,物品格栅,GRATE,,,,0,0,,,,
ARTIFICE,充能护盾指环,RUNICCHARGED,RUNICARMOR,,,0,0,15xPraecantatio;12xPotentia;9xTutamen;12xAlienis;9xAer;6xCognitio;3xTerra,,,
ARTIFICE,再充能护盾指环,RUNICHEALING,RUNICARMOR,,,0,0,18xPraecantatio;15xAqua;12xSano;9xTutamen;9xAlienis;6xAer;3xCognitio,,,
ARTIFICE,魔法能源吸收,GT_MAGICABSORB,GT_MAGICENERGY,,,0,0,10xMachina;10xCognitio;20xPotentia;10xElectrum,,,
ARTIFICE,奥法缰绳,HOVERHARNESS,BOOTSTRAVELLER,,TXHOVERHARNESS,0,0,15xVolatus;12xMachina;9xIter;9xAer;6xPraecantatio;3xTutamen,,,
ARTIFICE,魔镜,MIRROR,INFUSION,,thaumicenergistics.Pseudo.MIRROR,1,1,15xVitreus;12xIter;9xTenebrae;9xAlienis;6xCognitio;3xPotentia,1xitem.enderPearl@0;1xtile.portal@32767;1xtile.null@32767;1xtile.endPortalFrame@32767,Enderman,
ARTIFICE,炼金格栅,ALCHGRATE,ADVALCHEMYFURNACE;HUNGRYCHEST;GRATE,,,0,0,1xVacuos;1xAuram;1xPraecantatio;1xOrdo;1xPerditio,,,
ARTIFICE,催生灯,LAMPGROWTH,ARCANELAMP;INFUSION,,,0,0,9xMessis;3xLux;6xHerba;9xVictus,,,Lux;Messis
ARTIFICE,源质：VICTUS,ESSENTIA_UPGRADE_VICTUS,ESSENTIA_UPGRADE_BLANK,,,0,0,10xVictus;10xPermutatio;10xInstrumentum;10xElectrum,,,
ARTIFICE,源质：SPRITE,ESSENTIA_UPGRADE_SPRITE,ESSENTIA_UPGRADE_BLANK,,,0,0,10xCognitio;10xPermutatio;10xInstrumentum;10xElectrum,,,
ARTIFICE,狞笑恶魔面具,MASKGRINNINGDEVIL,ARMORFORTRESS,,,1,1,15xTutamen;12xSano;9xCognitio;9xAlienis;6xPraecantatio;3xFabrico,,,
ARTIFICE,句芒锄,ELEMENTALHOE,THAUMIUM;INFUSION,,,0,0,15xInstrumentum;12xVictus;9xMeto;6xMessis;3xPraecantatio,,,
ARTIFICE,大师级魔法能源转换,GT_MAGICENERGY3,GT_MAGICENERGY2,,,0,0,20xMachina;20xCognitio;40xPotentia;20xElectrum,,,
ARTIFICE,魔力手镜,MIRRORHAND,MIRROR,,,2,1,18xIter;15xInstrumentum;12xVitreus;9xAlienis;6xCognitio;6xPotentia;3xPraecantatio,,,
ARTIFICE,源质：AIR,ESSENTIA_UPGRADE_AIR,ESSENTIA_UPGRADE_BLANK,,,0,0,10xAer;10xPermutatio;10xInstrumentum;10xElectrum,,,
ARTIFICE,奥术工作台,ARCTABLE,TABLE,,,0,0,,,,
ARTIFICE,源质：MECHANICS,ESSENTIA_UPGRADE_MECHANICS,ESSENTIA_UPGRADE_BLANK,,,0,0,10xMachina;10xPermutatio;10xInstrumentum;10xElectrum,,,
ARTIFICE,注魔,INFUSION,DISTILESSENTIA,,TB.INFUSION;TXINFUSION;thaumicenergistics.Pseudo.INFUSION,0,0,9xFabrico;9xMachina;6xPraecantatio;6xCognitio;3xMotus,,,
ARTIFICE,冲击护盾腰带,RUNICKINETIC,RUNICARMOR,,,0,0,18xAer;15xPraecantatio;12xTutamen;9xTelum;9xAlienis;6xBestia;3xCognitio,,,
ARTIFICE,源质输出仓(ME),ESSENTIA_OUTPUT_HATCH_ME,INFUSION,,,0,0,10xAlienis;10xVinculum;10xStrontio;10xVacuos;10xPermutatio,,,
ARTIFICE,源质：THERMAL,ESSENTIA_UPGRADE_THERMAL,ESSENTIA_UPGRADE_BLANK,,,0,0,10xIgnis;10xPermutatio;10xInstrumentum;10xElectrum,,,
ARTIFICE,守卫者铺路石,PAVEWARD,ARCANESTONE,,,0,0,6xMotus;9xBestia;3xVinculum;6xTelum,,,
ARTIFICE,暴怒幽魂面具,MASKANGRYGHOST,ARMORFORTRESS,,,1,1,15xTutamen;12xPerditio;9xMortuus;9xAlienis;6xPraecantatio;3xFabrico,,,
ARTIFICE,进阶魔法能源吸收,GT_MAGICABSORB2,GT_MAGICABSORB,,,0,0,10xMachina;10xCognitio;20xPotentia;10xElectrum,,,
ARTIFICE,嗜血邪妖面具,MASKSIPPINGFIEND,ARMORFORTRESS,,,1,1,15xTutamen;12xExanimis;9xVictus;9xAlienis;6xCognitio;3xPotentia,,,
ARTIFICE,奥术灯,ARCANELAMP,NITOR,,,0,0,6xLux;3xTenebrae;6xSensus,,,
ARTIFICE,神秘要塞甲胄,ARMORFORTRESS,THAUMIUM;INFUSIONENCHANTMENT,,,0,0,15xFabrico;12xMetallum;9xTutamen;9xAlienis;6xCognitio;3xPotentia,,,Tutamen
ARTIFICE,源质：RADIATION,ESSENTIA_UPGRADE_RADIATION,ESSENTIA_UPGRADE_BLANK,,,0,0,10xRadio;10xPermutatio;10xInstrumentum;10xElectrum,,,
