Name,ID,Has Item,Mod,Class,Display Name
minecraft:rail,66,true,null,net.minecraft.block.BlockRail,轨道
minecraft:stone_stairs,67,true,null,net.minecraft.block.BlockStairs,石楼梯
minecraft:wall_sign,68,false,null,net.minecraft.block.BlockSign,null
minecraft:lever,69,true,null,net.minecraft.block.BlockLever,拉杆
minecraft:stone_pressure_plate,70,true,null,net.minecraft.block.BlockPressurePlate,压力板
minecraft:iron_door,71,false,null,net.malisis.doors.door.block.Door,null
minecraft:wooden_pressure_plate,72,true,null,net.minecraft.block.BlockPressurePlate,压力板
minecraft:redstone_ore,73,true,null,net.minecraft.block.BlockRedstoneOre,红石矿石
minecraft:lit_redstone_ore,74,false,null,net.minecraft.block.BlockRedstoneOre,null
minecraft:unlit_redstone_torch,75,false,null,net.minecraft.block.BlockRedstoneTorch,null
minecraft:redstone_torch,76,true,null,net.minecraft.block.BlockRedstoneTorch,红石火把
minecraft:stone_button,77,true,null,net.minecraft.block.BlockButtonStone,按钮
minecraft:snow_layer,78,true,null,net.minecraft.block.BlockSnow,雪
minecraft:ice,79,true,null,net.minecraft.block.BlockIce,冰
minecraft:snow,80,true,null,net.minecraft.block.BlockSnowBlock,雪
minecraft:cactus,81,true,null,net.minecraft.block.BlockCactus,仙人掌
minecraft:clay,82,true,null,net.minecraft.block.BlockClay,粘土块
minecraft:reeds,83,false,null,net.minecraft.block.BlockReed,null
minecraft:jukebox,84,true,null,net.minecraft.block.BlockJukebox,唱片机
minecraft:fence,85,true,null,net.minecraft.block.BlockFence,栅栏
minecraft:pumpkin,86,true,null,net.minecraft.block.BlockPumpkin,南瓜
minecraft:netherrack,87,true,null,net.minecraft.block.BlockNetherrack,下界岩
minecraft:soul_sand,88,true,null,net.minecraft.block.BlockSoulSand,灵魂沙
minecraft:glowstone,89,true,null,net.minecraft.block.BlockGlowstone,萤石
minecraft:portal,90,true,null,net.minecraft.block.BlockPortal,传送门
minecraft:lit_pumpkin,91,true,null,net.minecraft.block.BlockPumpkin,南瓜灯
minecraft:cake,92,false,null,net.minecraft.block.BlockCake,null
minecraft:unpowered_repeater,93,false,null,net.minecraft.block.BlockRedstoneRepeater,null
minecraft:powered_repeater,94,false,null,net.minecraft.block.BlockRedstoneRepeater,null
minecraft:stained_glass,95,true,null,net.minecraft.block.BlockStainedGlass,白色染色玻璃
minecraft:trapdoor,96,true,null,net.malisis.doors.trapdoor.block.TrapDoor,活板门
minecraft:monster_egg,97,true,null,net.minecraft.block.BlockSilverfish,被虫蚀的石头
minecraft:stonebrick,98,true,null,net.minecraft.block.BlockStoneBrick,石砖
minecraft:brown_mushroom_block,99,true,null,net.minecraft.block.BlockHugeMushroom,蘑菇
minecraft:red_mushroom_block,100,true,null,net.minecraft.block.BlockHugeMushroom,蘑菇
minecraft:iron_bars,101,true,null,net.minecraft.block.BlockPane,铁栏杆
minecraft:glass_pane,102,true,null,net.minecraft.block.BlockPane,玻璃板
minecraft:melon_block,103,true,null,net.minecraft.block.BlockMelon,西瓜
minecraft:pumpkin_stem,104,false,null,net.minecraft.block.BlockStem,null
minecraft:melon_stem,105,false,null,net.minecraft.block.BlockStem,null
minecraft:vine,106,true,null,net.minecraft.block.BlockVine,藤蔓
minecraft:fence_gate,107,true,null,net.malisis.doors.door.block.FenceGate,橡木栅栏门
minecraft:brick_stairs,108,true,null,net.minecraft.block.BlockStairs,砖楼梯
minecraft:stone_brick_stairs,109,true,null,net.minecraft.block.BlockStairs,石砖楼梯
minecraft:mycelium,110,true,null,net.minecraft.block.BlockMycelium,菌丝
minecraft:waterlily,111,true,null,net.minecraft.block.BlockLilyPad,睡莲
minecraft:nether_brick,112,true,null,net.minecraft.block.Block,下界砖
minecraft:nether_brick_fence,113,true,null,net.minecraft.block.BlockFence,下界砖栅栏
minecraft:nether_brick_stairs,114,true,null,net.minecraft.block.BlockStairs,下界砖楼梯
minecraft:nether_wart,115,false,null,net.minecraft.block.BlockNetherWart,null
minecraft:enchanting_table,116,true,null,net.minecraft.block.BlockEnchantmentTable,附魔台
minecraft:brewing_stand,117,false,null,net.minecraft.block.BlockBrewingStand,null
minecraft:cauldron,118,false,null,net.minecraft.block.BlockCauldron,null
minecraft:end_portal,119,true,null,net.minecraft.block.BlockEndPortal,"未命名方块,请报告给作者."
minecraft:end_portal_frame,120,true,null,net.minecraft.block.BlockEndPortalFrame,末地传送门
minecraft:end_stone,121,true,null,net.minecraft.block.Block,末地石
minecraft:dragon_egg,122,true,null,chylex.hee.block.BlockDragonEggCustom,龙蛋
minecraft:redstone_lamp,123,true,null,net.minecraft.block.BlockRedstoneLight,红石灯
minecraft:lit_redstone_lamp,124,false,null,net.minecraft.block.BlockRedstoneLight,null
minecraft:double_wooden_slab,125,true,null,net.minecraft.block.BlockWoodSlab,橡木台阶
minecraft:wooden_slab,126,true,null,net.minecraft.block.BlockWoodSlab,橡木台阶
minecraft:cocoa,127,true,null,net.minecraft.block.BlockCocoa,可可果
minecraft:sandstone_stairs,128,true,null,net.minecraft.block.BlockStairs,沙石楼梯
minecraft:emerald_ore,129,true,null,net.minecraft.block.BlockOre,绿宝石矿石
minecraft:ender_chest,130,true,null,net.minecraft.block.BlockEnderChest,Personal Ender Chest
minecraft:tripwire_hook,131,true,null,net.minecraft.block.BlockTripWireHook,绊线钩
minecraft:tripwire,132,false,null,net.minecraft.block.BlockTripWire,null
minecraft:emerald_block,133,true,null,net.minecraft.block.BlockCompressed,绿宝石块
minecraft:spruce_stairs,134,true,null,net.minecraft.block.BlockStairs,云杉木楼梯
minecraft:birch_stairs,135,true,null,net.minecraft.block.BlockStairs,桦木楼梯
minecraft:jungle_stairs,136,true,null,net.minecraft.block.BlockStairs,丛林木楼梯
minecraft:command_block,137,true,null,net.minecraft.block.BlockCommandBlock,命令方块
minecraft:beacon,138,true,null,net.minecraft.block.BlockBeacon,信标
minecraft:cobblestone_wall,139,true,null,net.minecraft.block.BlockWall,圆石墙
minecraft:flower_pot,140,false,null,net.minecraft.block.BlockFlowerPot,null
minecraft:carrots,141,true,null,net.minecraft.block.BlockCarrot,胡萝卜
minecraft:potatoes,142,true,null,net.minecraft.block.BlockPotato,马铃薯
minecraft:wooden_button,143,true,null,net.minecraft.block.BlockButtonWood,按钮
minecraft:skull,144,false,null,net.minecraft.block.BlockSkull,null
minecraft:anvil,145,true,null,net.minecraft.block.BlockAnvil,铁砧
minecraft:trapped_chest,146,true,null,net.minecraft.block.BlockChest,陷阱箱
minecraft:light_weighted_pressure_plate,147,true,null,net.minecraft.block.BlockPressurePlateWeighted,轻质测重压力板
minecraft:heavy_weighted_pressure_plate,148,true,null,net.minecraft.block.BlockPressurePlateWeighted,重质测重压力板
minecraft:unpowered_comparator,149,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:powered_comparator,150,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:daylight_detector,151,true,null,net.minecraft.block.BlockDaylightDetector,阳光探测器
minecraft:redstone_block,152,true,null,net.minecraft.block.BlockCompressedPowered,红石块
minecraft:quartz_ore,153,true,null,net.minecraft.block.BlockOre,下界石英矿石
minecraft:hopper,154,true,null,net.minecraft.block.BlockHopper,漏斗
minecraft:quartz_block,155,true,null,net.minecraft.block.BlockQuartz,石英块
minecraft:quartz_stairs,156,true,null,net.minecraft.block.BlockStairs,石英楼梯
minecraft:activator_rail,157,true,null,net.minecraft.block.BlockRailPowered,激活轨道
minecraft:dropper,158,true,null,net.minecraft.block.BlockDropper,投掷器
minecraft:stained_hardened_clay,159,true,null,net.minecraft.block.BlockColored,白色染色粘土
minecraft:stained_glass_pane,160,true,null,net.minecraft.block.BlockStainedGlassPane,白色染色玻璃板
minecraft:leaves2,161,true,null,net.minecraft.block.BlockNewLeaf,金合欢树叶
minecraft:log2,162,true,null,net.minecraft.block.BlockNewLog,金合欢木
minecraft:acacia_stairs,163,true,null,net.minecraft.block.BlockStairs,金合欢木楼梯
minecraft:dark_oak_stairs,164,true,null,net.minecraft.block.BlockStairs,深色橡木楼梯
IC2:blockOreCopper,165,true,null,ic2.core.block.BlockMetaData,铜矿石
IC2:blockOreTin,166,true,null,ic2.core.block.BlockMetaData,锡矿石
IC2:blockOreUran,167,true,null,ic2.core.block.BlockMetaData,铀矿石
IC2:blockOreLead,168,true,null,ic2.core.block.BlockMetaData,铅矿石
IC2:blockRubWood,169,true,null,ic2.core.block.BlockRubWood,橡胶树原木
minecraft:hay_block,170,true,null,net.minecraft.block.BlockHay,干草块
minecraft:carpet,171,true,null,net.minecraft.block.BlockCarpet,地毯
minecraft:hardened_clay,172,true,null,net.minecraft.block.BlockHardenedClay,硬化粘土
minecraft:coal_block,173,true,null,net.minecraft.block.Block,煤炭块
minecraft:packed_ice,174,true,null,net.minecraft.block.BlockPackedIce,浮冰
minecraft:double_plant,175,true,null,net.minecraft.block.BlockDoublePlant,向日葵
IC2:blockRubLeaves,176,true,null,ic2.core.block.BlockRubLeaves,橡胶树树叶
IC2:blockRubSapling,177,true,null,ic2.core.block.BlockRubSapling,橡胶树树苗
IC2:blockHarz,178,true,null,ic2.core.block.BlockResin,ic2.blockHarz
IC2:blockRubber,179,true,null,ic2.core.block.BlockRubberSheet,橡胶垫
IC2:blockFenceIron,180,true,null,ic2.core.block.BlockPoleFence,铁栅栏
IC2:blockAlloy,181,true,null,ic2.core.block.BlockMetaData,防爆石
IC2:blockBasalt,182,true,null,ic2.core.block.BlockMetaData,玄武岩
IC2:blockAlloyGlass,183,true,null,ic2.core.block.BlockTexGlass,防爆玻璃
IC2:blockDoorAlloy,184,true,null,ic2.core.block.BlockIC2Door,防爆门
IC2:blockReinforcedFoam,185,true,null,ic2.core.block.BlockReinforcedFoam,强化建筑泡沫
IC2:blockFoam,186,true,null,ic2.core.block.BlockFoam,建筑泡沫
IC2:blockWall,187,true,null,ic2.core.block.BlockWall,ic2.blockWall
IC2:blockScaffold,188,true,null,ic2.core.block.BlockScaffold,脚手架
IC2:blockIronScaffold,189,true,null,ic2.core.block.BlockScaffold,铁质脚手架
IC2:blockMetal,190,true,null,ic2.core.block.BlockMetal,铜块
IC2:blockCable,191,true,null,ic2.core.block.wiring.BlockCable,ic2.blockCable
IC2:blockKineticGenerator,192,true,null,ic2.core.block.kineticgenerator.block.BlockKineticGenerator,风力动能发生机
IC2:blockHeatGenerator,193,true,null,ic2.core.block.heatgenerator.block.BlockHeatGenerator,固体加热机
IC2:blockGenerator,194,true,null,ic2.core.block.generator.block.BlockGenerator,火力发电机
IC2:blockReactorChamber,195,true,null,ic2.core.block.reactor.block.BlockReactorChamber,核反应仓
IC2:blockReactorFluidPort,196,true,null,ic2.core.block.reactor.block.BlockReactorFluidPort,反应堆流体接口
IC2:blockReactorAccessHatch,197,true,null,ic2.core.block.reactor.block.BlockReactorAccessHatch,反应堆访问接口
IC2:blockReactorRedstonePort,198,true,null,ic2.core.block.reactor.block.BlockReactorRedstonePort,反应堆红石接口
IC2:blockreactorvessel,199,true,null,ic2.core.block.reactor.block.BlockReactorVessel,反应堆压力容器
IC2:blockElectric,200,true,null,ic2.core.block.wiring.BlockElectric,储电盒
IC2:blockChargepad,201,true,null,ic2.core.block.wiring.BlockChargepad,充电座
IC2:blockMachine,202,true,null,ic2.core.block.machine.BlockMachine,基础机器外壳
IC2:blockMachine2,203,true,null,ic2.core.block.machine.BlockMachine2,传送机
IC2:blockMachine3,204,true,null,ic2.core.block.machine.BlockMachine3,蒸汽机
IC2:blockLuminatorDark,205,true,null,ic2.core.block.wiring.BlockLuminator,日光灯
IC2:blockLuminator,206,true,null,ic2.core.block.wiring.BlockLuminator,日光灯
IC2:blockMiningPipe,207,true,null,ic2.core.block.machine.BlockMiningPipe,采矿管道
IC2:blockMiningTip,208,true,null,ic2.core.block.machine.BlockMiningTip,采矿管道
IC2:blockPersonal,209,true,null,ic2.core.block.personal.BlockPersonal,保险箱
IC2:blockITNT,210,true,null,ic2.core.block.BlockITNT,工业TNT
IC2:blockNuke,211,true,null,ic2.core.block.BlockITNT,核弹
IC2:blockDynamite,212,true,null,ic2.core.block.BlockDynamite,ic2.blockDynamite
IC2:blockDynamiteRemote,213,true,null,ic2.core.block.BlockDynamite,ic2.blockDynamiteRemote
IC2:blockCrop,214,true,null,ic2.core.crop.BlockCrop,作物架
IC2:blockBarrel,215,true,null,ic2.core.block.BlockBarrel,酒桶
IC2:fluidUuMatter,216,true,null,ic2.core.block.BlockIC2Fluid,UU物质
IC2:fluidConstructionFoam,217,true,null,ic2.core.block.BlockIC2Fluid,建筑泡沫
IC2:fluidCoolant,218,true,null,ic2.core.block.BlockIC2Fluid,冷却液
IC2:fluidHotCoolant,219,true,null,ic2.core.block.BlockIC2Fluid,热冷却液
IC2:fluidPahoehoeLava,220,true,null,ic2.core.block.BlockIC2Fluid,熔岩岩浆
IC2:fluidBiomass,221,true,null,ic2.core.block.BlockIC2Fluid,生物质
IC2:fluidBiogas,222,true,null,ic2.core.block.BlockIC2Fluid,沼气
IC2:fluidDistilledWater,223,true,null,ic2.core.block.BlockIC2Fluid,蒸馏水
IC2:fluidSuperheatedSteam,224,true,null,ic2.core.block.BlockIC2Fluid,过热蒸汽
IC2:fluidSteam,225,true,null,ic2.core.block.BlockIC2Fluid,蒸汽
IC2:fluidHotWater,226,true,null,ic2.core.block.BlockIC2Fluid,Hotspring Water
AdvancedSolarPanel:BlockMolecularTransformer,227,true,null,advsolar.common.blocks.BlockMolecularTransformer,分子重组仪
AdvancedSolarPanel:BlockAdvSolarPanel,228,true,null,advsolar.common.blocks.BlockAdvSolarPanel,高级太阳能发电机
adventurebackpack:blockBackpack,229,true,null,com.darkona.adventurebackpack.block.BlockAdventureBackpack,探险背包
adventurebackpack:blockSleepingBag,230,true,null,com.darkona.adventurebackpack.block.BlockSleepingBag,睡袋
adventurebackpack:blockCampFire,231,true,null,com.darkona.adventurebackpack.block.BlockCampFire,篝火
appliedenergistics2:tile.OreQuartz,232,true,null,appeng.block.solids.OreQuartz,赛特斯石英矿石
appliedenergistics2:tile.OreQuartzCharged,233,true,null,appeng.block.solids.OreQuartzCharged,充能赛特斯石英矿石
appliedenergistics2:tile.BlockMatrixFrame,234,true,null,appeng.block.spatial.BlockMatrixFrame,矩阵框架
appliedenergistics2:tile.BlockQuartz,235,true,null,appeng.block.solids.BlockQuartz,赛特斯石英块
appliedenergistics2:tile.BlockQuartzPillar,236,true,null,appeng.block.solids.BlockQuartzPillar,赛特斯竖纹石英块
appliedenergistics2:tile.BlockQuartzChiseled,237,true,null,appeng.block.solids.BlockQuartzChiseled,錾制赛特斯石英块
appliedenergistics2:tile.BlockQuartzGlass,238,true,null,appeng.block.solids.BlockQuartzGlass,石英玻璃
appliedenergistics2:tile.BlockQuartzLamp,239,true,null,appeng.block.solids.BlockQuartzLamp,聚能石英玻璃
appliedenergistics2:tile.BlockQuartzTorch,240,true,null,appeng.block.misc.BlockQuartzTorch,充能石英火把
appliedenergistics2:tile.BlockFluix,241,true,null,appeng.block.solids.BlockFluix,福鲁伊克斯块
appliedenergistics2:tile.BlockSkyStone,242,true,null,appeng.block.solids.BlockSkyStone,陨石
appliedenergistics2:tile.BlockSkyChest,243,true,null,appeng.block.storage.BlockSkyChest,陨石箱子
appliedenergistics2:tile.BlockSkyCompass,244,true,null,appeng.block.misc.BlockSkyCompass,陨石罗盘
appliedenergistics2:tile.BlockInscriber,245,true,null,appeng.block.misc.BlockInscriber,压印器
appliedenergistics2:tile.BlockWireless,246,true,null,appeng.block.networking.BlockWireless,ME无线访问点
appliedenergistics2:tile.BlockCharger,247,true,null,appeng.block.misc.BlockCharger,充能器
appliedenergistics2:tile.BlockTinyTNT,248,true,null,appeng.block.misc.BlockTinyTNT,迷你TNT
appliedenergistics2:tile.BlockSecurity,249,true,null,appeng.block.misc.BlockSecurity,ME安全终端
appliedenergistics2:tile.BlockQuantumRing,250,true,null,appeng.block.qnb.BlockQuantumRing,ME量子环
appliedenergistics2:tile.BlockQuantumLinkChamber,251,true,null,appeng.block.qnb.BlockQuantumLinkChamber,ME量子链接仓
appliedenergistics2:tile.BlockSpatialPylon,252,true,null,appeng.block.spatial.BlockSpatialPylon,空间塔
appliedenergistics2:tile.BlockSpatialIOPort,253,true,null,appeng.block.spatial.BlockSpatialIOPort,空间IO端口
appliedenergistics2:tile.BlockCableBus,254,true,null,appeng.block.networking.BlockCableBus,AE线缆/总线
appliedenergistics2:tile.BlockController,255,true,null,appeng.block.networking.BlockController,ME控制器
appliedenergistics2:tile.BlockDrive,409,true,null,appeng.block.storage.BlockDrive,ME驱动器
appliedenergistics2:tile.BlockChest,410,true,null,appeng.block.storage.BlockChest,ME箱子
appliedenergistics2:tile.BlockInterface,411,true,null,appeng.block.misc.BlockInterface,ME接口
appliedenergistics2:tile.BlockCellWorkbench,412,true,null,appeng.block.misc.BlockCellWorkbench,元件工作台
appliedenergistics2:tile.BlockIOPort,413,true,null,appeng.block.storage.BlockIOPort,ME-IO端口
appliedenergistics2:tile.BlockCondenser,414,true,null,appeng.block.misc.BlockCondenser,物质聚合器
appliedenergistics2:tile.BlockEnergyAcceptor,415,true,null,appeng.block.networking.BlockEnergyAcceptor,能源接收器
appliedenergistics2:tile.BlockVibrationChamber,416,true,null,appeng.block.misc.BlockVibrationChamber,谐振仓
appliedenergistics2:tile.BlockQuartzGrowthAccelerator,423,true,null,appeng.block.misc.BlockQuartzGrowthAccelerator,晶体催生器
appliedenergistics2:tile.BlockEnergyCell,424,true,null,appeng.block.networking.BlockEnergyCell,能源元件
appliedenergistics2:tile.BlockDenseEnergyCell,425,true,null,appeng.block.networking.BlockDenseEnergyCell,致密能源元件
appliedenergistics2:tile.BlockCreativeEnergyCell,426,true,null,appeng.block.networking.BlockCreativeEnergyCell,Neutronium Energy Cell
appliedenergistics2:tile.BlockCraftingUnit,427,true,null,appeng.block.crafting.BlockCraftingUnit,合成单元
appliedenergistics2:tile.BlockAdvancedCraftingUnit,428,true,null,appeng.block.crafting.BlockAdvancedCraftingUnit,64核并行处理单元
appliedenergistics2:tile.BlockCraftingStorage,429,true,null,appeng.block.crafting.BlockCraftingStorage,1k合成存储器
appliedenergistics2:tile.BlockAdvancedCraftingStorage,430,true,null,appeng.block.crafting.BlockAdvancedCraftingStorage,256k合成存储器
appliedenergistics2:tile.BlockSingularityCraftingStorage,431,true,null,appeng.block.crafting.BlockSingularityCraftingStorage,奇点合成存储器
appliedenergistics2:tile.BlockCraftingMonitor,432,true,null,appeng.block.crafting.BlockCraftingMonitor,合成监控器
appliedenergistics2:tile.BlockMolecularAssembler,433,true,null,appeng.block.crafting.BlockMolecularAssembler,分子装配室
appliedenergistics2:tile.BlockLightDetector,434,true,null,appeng.block.misc.BlockLightDetector,光亮探测器
appliedenergistics2:tile.BlockPaint,435,true,null,appeng.block.misc.BlockPaint,tile.appliedenergistics2.BlockPaint.name
appliedenergistics2:tile.SkyStoneStairBlock,436,true,null,appeng.block.stair.SkyStoneStairBlock,陨石楼梯
appliedenergistics2:tile.SkyStoneBlockStairBlock,437,true,null,appeng.block.stair.SkyStoneBlockStairBlock,陨石块楼梯
appliedenergistics2:tile.SkyStoneBrickStairBlock,438,true,null,appeng.block.stair.SkyStoneBrickStairBlock,陨石石砖楼梯
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock,439,true,null,appeng.block.stair.SkyStoneSmallBrickStairBlock,陨石砖块楼梯
appliedenergistics2:tile.FluixStairBlock,440,true,null,appeng.block.stair.FluixStairBlock,福鲁伊克斯楼梯
appliedenergistics2:tile.QuartzStairBlock,441,true,null,appeng.block.stair.QuartzStairBlock,赛特斯石英楼梯
appliedenergistics2:tile.ChiseledQuartzStairBlock,442,true,null,appeng.block.stair.ChiseledQuartzStairBlock,錾制赛特斯石英楼梯
appliedenergistics2:tile.QuartzPillarStairBlock,443,true,null,appeng.block.stair.QuartzPillarStairBlock,竖纹赛特斯石英楼梯
appliedenergistics2:tile.SkyStoneSlabBlock,444,true,null,appeng.block.AEBaseSlabBlock,陨石台阶
appliedenergistics2:tile.SkyStoneSlabBlock.double,445,true,null,appeng.block.AEBaseSlabBlock,陨石台阶
appliedenergistics2:tile.SkyStoneBlockSlabBlock,446,true,null,appeng.block.AEBaseSlabBlock,陨石块台阶
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double,447,true,null,appeng.block.AEBaseSlabBlock,陨石块台阶
appliedenergistics2:tile.SkyStoneBrickSlabBlock,448,true,null,appeng.block.AEBaseSlabBlock,陨石石砖台阶
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double,449,true,null,appeng.block.AEBaseSlabBlock,陨石石砖台阶
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock,450,true,null,appeng.block.AEBaseSlabBlock,陨石砖块台阶
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double,451,true,null,appeng.block.AEBaseSlabBlock,陨石砖块台阶
appliedenergistics2:tile.FluixSlabBlock,452,true,null,appeng.block.AEBaseSlabBlock,福鲁伊克斯台阶
appliedenergistics2:tile.FluixSlabBlock.double,453,true,null,appeng.block.AEBaseSlabBlock,福鲁伊克斯台阶
appliedenergistics2:tile.QuartzSlabBlock,454,true,null,appeng.block.AEBaseSlabBlock,赛特斯石英台阶
appliedenergistics2:tile.QuartzSlabBlock.double,455,true,null,appeng.block.AEBaseSlabBlock,赛特斯石英台阶
appliedenergistics2:tile.ChiseledQuartzSlabBlock,456,true,null,appeng.block.AEBaseSlabBlock,錾制赛特斯石英台阶
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double,457,true,null,appeng.block.AEBaseSlabBlock,錾制赛特斯石英台阶
appliedenergistics2:tile.QuartzPillarSlabBlock,458,true,null,appeng.block.AEBaseSlabBlock,竖纹赛特斯石英台阶
appliedenergistics2:tile.QuartzPillarSlabBlock.double,459,true,null,appeng.block.AEBaseSlabBlock,竖纹赛特斯石英台阶
ae2fc:certus_quartz_tank,460,true,null,com.glodblock.github.common.block.BlockCertusQuartzTank,赛特斯石英水槽
ae2fc:fluid_auto_filler,461,true,null,com.glodblock.github.common.block.BlockFluidAutoFiller,ME流体自动装填器
ae2fc:fluid_discretizer,462,true,null,com.glodblock.github.common.block.BlockFluidDiscretizer,ME流体离散器
ae2fc:level_maintainer,463,true,null,com.glodblock.github.common.block.BlockLevelMaintainer,ME缓存指令器
ae2fc:fluid_pattern_encoder,464,true,null,com.glodblock.github.common.block.BlockFluidPatternEncoder,流体样板编码台
ae2fc:fluid_packet_decoder,465,true,null,com.glodblock.github.common.block.BlockFluidPacketDecoder,ME流体封包解码器
ae2fc:fluid_interface,466,true,null,com.glodblock.github.common.block.BlockFluidInterface,ME二合一接口
ae2fc:ingredient_buffer,467,true,null,com.glodblock.github.common.block.BlockIngredientBuffer,原材料缓存仓
ae2fc:fluid_buffer,468,true,null,com.glodblock.github.common.block.BlockFluidBuffer,ME流体缓存器
